x,y
-56.852000,4.895001
-56.652000,4.895001
-56.452000,4.895001
-56.252000,4.895001
-56.052000,4.895001
-55.852000,4.895001
-55.652000,4.895001
-55.452000,4.895001
-55.252000,4.895001
-55.052000,4.895001
-54.852000,4.895001
-54.652000,4.895001
-54.452000,4.895001
-54.252000,4.895001
-54.052000,4.895001
-53.852000,4.895001
-53.652000,4.895001
-53.452000,4.895001
-53.252000,4.895001
-53.052000,4.895001
-52.852000,4.895001
-52.652000,4.895001
-52.452000,4.895001
-52.252000,4.895001
-52.052000,4.895001
-51.852000,4.895001
-51.652000,4.895001
-51.452000,4.895001
-51.252000,4.895001
-51.052000,4.895001
-50.852000,4.895001
-50.652000,4.895001
-50.452000,4.895001
-50.252000,4.895001
-50.052000,5.095001
-49.852000,5.095001
-49.652000,5.295001
-49.452000,5.295001
-49.252000,5.495001
-49.052000,5.495001
-48.852000,5.695001
-48.652000,5.695001
-48.452000,5.895001
-48.252000,5.895001
-48.052000,6.095001
-47.852000,6.095001
-47.652000,6.095001
-47.452000,6.295001
-47.252000,6.295001
-47.052000,6.495001
-46.852000,6.495001
-46.652000,6.695001
-46.452000,6.695001
-46.252000,6.895001
-46.052000,6.895001
-45.852000,7.095001
-45.652000,7.095001
-45.452000,7.295001
-45.252000,7.295001
-45.052000,7.295001
-44.852000,7.495001
-44.652000,7.495001
-44.452000,7.695001
-44.252000,7.695001
-44.052000,7.895001
-43.852000,7.895001
-43.652000,8.095001
-43.452000,8.095001
-43.252000,8.295001
-43.052000,8.295001
-42.852000,8.295001
-42.652000,8.495001
-42.452000,8.495001
-42.252000,8.695001
-42.052000,8.695001
-41.852000,8.895001
-41.652000,8.895001
-41.452000,9.095001
-41.252000,9.095001
-41.052000,9.295001
-40.852000,9.295001
-40.652000,9.295001
-40.452000,9.495001
-40.252000,9.495001
-40.052000,9.695001
-39.852000,9.695001
-39.652000,9.895001
-39.452000,9.895001
-39.252000,10.095001
-39.052000,10.095001
-38.852000,10.295001
-38.652000,10.295001
-38.452000,10.295001
-38.252000,10.495001
-38.052000,10.495001
-37.852000,10.695001
-37.652000,10.695001
-37.452000,10.895001
-37.252000,10.895001
-37.052000,11.095001
-36.852000,11.095001
-36.652000,11.295001
-36.452000,11.295001
-36.252000,11.295001
-36.052000,11.495001
-35.852000,11.495001
-35.652000,11.695001
-35.452000,11.695001
-35.252000,11.895001
-35.052000,11.895001
-34.852000,12.095001
-34.652000,12.095001
-34.452000,12.295001
-34.252000,12.295001
-34.052000,12.295001
-33.852000,12.495001
-33.652000,12.495001
-33.452000,12.695001
-33.252000,12.695001
-33.052000,12.895001
-32.852000,12.895001
-32.652000,13.095001
-32.452000,13.095001
-32.252000,13.295001
-32.052000,13.295001
-31.852000,13.295001
-31.652000,13.495001
-31.452000,13.495001
-31.252000,13.695001
-31.052000,13.695001
-30.852000,13.895001
-30.652000,13.895001
-30.452000,14.095001
-30.252000,14.095001
-30.052000,14.295001
-29.852000,14.295001
-29.652000,14.295001
-29.452000,14.495001
-29.252000,14.495001
-29.052000,14.695001
-28.852000,14.695001
-28.652000,14.895001
-28.452000,14.895001
-28.252000,15.095001
-28.052000,15.095001
-27.852000,15.295001
-27.652000,15.295001
-27.452000,15.295001
-27.252000,15.495001
-27.052000,15.495001
-26.852000,15.695001
-26.652000,15.695001
-26.452000,15.895001
-26.252000,15.895001
-26.052000,16.095001
-25.852000,16.095001
-25.652000,16.295001
-25.452000,16.295001
-25.252000,16.295001
-25.052000,16.495001
-24.852000,16.495001
-24.652000,16.695001
-24.452000,16.695001
-24.252000,16.895001
-24.052000,16.895001
-23.852000,17.095001
-23.652000,17.095001
-23.452000,17.295001
-23.252000,17.295001
-23.052000,17.295001
-22.852000,17.495001
-22.652000,17.495001
-22.452000,17.695001
-22.252000,17.695001
-22.052000,17.895001
-21.852000,17.895001
-21.652000,18.095001
-21.452000,18.095001
-21.252000,18.295001
-21.052000,18.295001
-20.852000,18.295001
-20.652000,18.495001
-20.452000,18.495001
-20.252000,18.695001
-20.052000,18.695001
-19.852000,18.895001
-19.652000,18.895001
-19.452000,19.095001
-19.252000,19.095001
-19.052000,19.295001
-18.852000,19.295001
-18.652000,19.295001
-18.452000,19.495001
-18.252000,19.495001
-18.052000,19.695001
-17.852000,19.695001
-17.652000,19.895001
-17.452000,19.895001
-17.252000,20.095001
-17.052000,20.095001
-16.852000,20.295001
-16.652000,20.295001
-16.452000,20.295001
-16.252000,20.495001
-16.052000,20.495001
-15.852000,20.695001
-15.652000,20.695001
-15.452000,20.895001
-15.252000,20.895001
-15.052000,21.095001
-14.852000,21.095001
-14.652000,21.295001
-14.452000,21.295001
-14.252000,21.295001
-14.052000,21.495001
-13.852000,21.495001
-13.652000,21.695001
-13.452000,21.695001
-13.252000,21.895001
-13.052000,21.895001
-12.852000,22.095001
-12.652000,22.095001
-12.452000,22.295001
-12.252000,22.295001
-12.052000,22.295001
-11.852000,22.495001
-11.652000,22.495001
-11.452000,22.695001
-11.252000,22.695001
-11.052000,22.895001
-10.852000,22.895001
-10.652000,23.095001
-10.452000,23.095001
-10.252000,23.295001
-10.052000,23.295001
-9.852000,23.295001
-9.652000,23.495001
-9.452000,23.495001
-9.252000,23.695001
-9.052000,23.695001
-8.852000,23.895001
-8.652000,23.895001
-8.452000,24.095001
-8.252000,24.095001
-8.052000,24.295001
-7.852000,24.295001
-7.652000,24.495001
-7.452000,24.495001
-7.252000,24.495001
-7.052000,24.695001
-6.852000,24.695001
-6.652000,24.895001
-6.452000,24.895001
-6.252000,25.095001
-6.052000,25.095001
-5.852000,25.295001
-5.652000,25.295001
-5.452000,25.495001
-5.252000,25.495001
-5.052000,25.495001
-4.852000,25.695001
-4.652000,25.695001
-4.452000,25.895001
-4.252000,25.895001
-4.052000,26.095001
-3.852000,26.095001
-3.652000,26.295001
-3.452000,26.295001
-3.252000,26.495001
-3.052000,26.495001
-2.852000,26.495001
-2.652000,26.695001
-2.452000,26.695001
-2.252000,26.895001
-2.052000,26.895001
-1.852000,27.095001
-1.652000,27.095001
-1.452000,27.295001
-1.252000,27.295001
-1.052000,27.495001
-0.852000,27.495001
-0.652000,27.495001
-0.452000,27.695001
-0.252000,27.695001
-0.052000,27.895001
0.148000,27.895001
0.348000,28.095001
0.548000,28.095001
0.748000,28.295001
0.948000,28.295001
1.148000,28.495001
1.348000,28.495001
1.548000,28.495001
1.748000,28.695001
1.948000,28.695001
2.148000,28.895001
2.348000,28.895001
2.548000,29.095001
2.748000,29.095001
2.948000,29.295001
3.148000,29.295001
3.348000,29.495001
3.548000,29.495001
3.748000,29.495001
3.948000,29.695001
4.148000,29.695001
4.348000,29.895001
4.548000,29.895001
4.748000,30.095001
4.948000,30.095001
5.148000,30.295001
5.348000,30.295001
5.548000,30.495001
5.748000,30.495001
5.948000,30.495001
6.148000,30.695001
6.348000,30.695001
6.548000,30.895001
6.748000,30.895001
6.948000,31.095001
7.148000,31.095001
7.348000,31.295001
7.548000,31.295001
7.748000,31.495001
7.948000,31.495001
8.148000,31.495001
8.348000,31.695001
8.548000,31.695001
8.748000,31.895001
8.948000,31.895001
9.148000,32.095001
9.348000,32.095001
9.548000,32.295001
9.748000,32.295001
9.948000,32.495001
10.148000,32.495001
